SOURCE	TARGET
"	.	REPLACE_PC
بعد	بعد	UC
دراستي	دراستي	UC
في	في	UC
معهد	معهد	UC
اللغة	اللغة	UC
العربية	العربية	UC
ألتحق	ألتحق	UC
كلية	بكلية	REPLACE_XM
الشريعة	الشريعة	UC
:	؛	REPLACE_PC
لأنها	لأنها	UC
كلية	الكلية	REPLACE_XF
التي	التي	UC
أحبها	أحبها	UC
	.	INSERT_PM
قبل	قبل	UC
مجيء في	مجيئي إلى	REPLACE_SW
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
,	،	REPLACE_PC
وفقني	وفقني	UC
اللله	الله	REPLACE_OD
تعالى	تعالى	UC
منحة	لمنحة	REPLACE_MI
الدراسية	دراسية	REPLACE_XF
.	.	UC
قد	قد	UC
تخرج	تخرج	UC
أخي	أخي	UC
في	من	REPLACE_SW
هذه	هذه	UC
الكلية	الكلية	UC
وشجعني	وشجعني	UC
أن	أن	UC
ألتحق	ألتحق	UC
في هذه	بهذه	REPLACE_S
الكية	الكلية	REPLACE_OM
	؛	INSERT_PM
لأنها	لأنها	UC
تناسب	تناسب	UC
مستواي	مستواي	UC
,	،	REPLACE_PC
لأنها	لأنها	UC
تشتمل	تشمل	REPLACE_OD
المواد	المواد	UC
التي	التي	UC
تدرس	تدرس	UC
في	في	UC
كليات	كليات	UC
أخرى	أخرى	UC
,	،	REPLACE_PC
وأريد	وأريد	UC
أن	أن	UC
أسفيد	أستفيد	REPLACE_OM
في	من	REPLACE_SW
جميع	جميعها	REPLACE_MI
,	،	REPLACE_PC
خاصة	خاصة	UC
المواد	المواد	UC
الشرعية	الشرعية	UC
,	:	REPLACE_PC
الفقه	الفقه	UC
	،	INSERT_PM
والعقيدة	والعقيدة	UC
	،	INSERT_PM
والتقسير	والتفسير	REPLACE_OR
	،	INSERT_PM
أصول	أصول	UC
الفقه	الفقه	UC
	،	INSERT_PM
وغيرها	وغيرها	UC
من	من	UC
المواد	المواد	UC
الشرعية	الشرعية	UC
	؛	INSERT_PM
لأن	لأن	UC
في	في	UC
بلدنا	بلدنا	UC
نحتاج	نحتاج	UC
الفقه	الفقه	UC
والعقيدة	والعقيدة	UC
.	،	REPLACE_PC
لأن	لأن	UC
في	في	UC
بلادنا	بلادنا	UC
كثير	كثيرة	REPLACE_XG
	هي	INSERT_XM
الخرافت	الخرافات	REPLACE_OH+REPLACE_OM
والجهل	والجهل	UC
	؛	INSERT_PM
لذ	لذا	REPLACE_XC
أريد	أريد	UC
أن	أن	UC
يكون	تكون	REPLACE_MI
لدي	لدي	UC
معلومات	معلومات	UC
كثيرة	كثيرة	UC
قي	في	REPLACE_OR
الفقه	الفقه	UC
	،	INSERT_PM
وأصوله	وأصوله	UC
	،	INSERT_PM
والعقيدة	والعقيدة	UC
حتى	حتى	UC
أتمكن	أتمكن	UC
في	من	REPLACE_SW
هذا	هذا	UC
الجال	المجال	REPLACE_OM
.	.	UC
والسلام	والسلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
ز		DELETE_XM
.	.	UC
"		DELETE_PM

الإختيار	الاختيار	REPLACE_OH
بين	بين	UC
كليتين	كليتين	UC
"	.	REPLACE_PC
بسم	بسم	UC
الله	الله	UC
الرحمن	الرحمن	UC
الرحيم	الرحيم	UC
	.	INSERT_PM
أولا	أولا	UC
:	،	REPLACE_PC
أحمد	أحمد	UC
الله	الله	UC
عز	عز	UC
و جل	وجل	MERGE
كثيرا	كثيرا	UC
بهذه	على هذه	REPLACE_S
الفرصة	الفرصة	UC
التي	التي	UC
وهبني	وهبني	UC
	إياها	INSERT_XM
وأسأل	وأسأل	UC
الله	الله	UC
أن	أن	UC
يثبتني	يثبتني	UC
و يزدني	ويزدني	MERGE
بعلم	علما	REPLACE_XC+REPLACE_XT
نافع	نافعا	REPLACE_XC
.	.	UC
الآن	الآن	UC
أنا	أنا	UC
في	في	UC
معهد	معهد	UC
تعليم	تعليم	UC
اللغة	اللغة	UC
العربية	العربية	UC
في	في	UC
مستوى	المستوى	REPLACE_XF
الثالث	الثالث	UC
و قد	وقد	MERGE
إنتقعت	انتقعت	REPLACE_OH
بدراستي	بدراستي	UC
فيها	فيها	UC
.	.	UC
بقي	بقي	UC
لي	لي	UC
حوالي	حوالي	UC
سنة	سنة	UC
و نصف	ونصف	MERGE
كي	كي	UC
أنتهي	أنتهي	UC
من	من	UC
الدراستي	الدراسة	REPLACE_OD+REPLACE_OR
في	في	UC
المعهد	المعهد	UC
,	،	REPLACE_PC
و بعد	وبعد	MERGE
ذلك	ذلك	UC
أريد	أريد	UC
أن	أن	UC
أدخل	أدخل	UC
	إما	INSERT_XM
في	في	UC
كلية	كلية	UC
الشريعة	الشريعة	UC
أم	أو	REPLACE_OR
أصول	أصول	UC
الدين	الدين	UC
.	.	UC
حتى	حتى	UC
الآن	الآن	UC
انا	أنا	REPLACE_OH
متردد	متردد	UC
في	في	UC
اختياري	اختياري	UC
	؛	INSERT_PM
لأنني	لأنني	UC
أريد	أريد	UC
أن	أن	UC
أرجع	أرجع	UC
إلى	إلى	UC
بلدي	بلدي	UC
داعيا	داعيا	UC
و في	وفي	MERGE
بريطانيا	بريطانيا	UC
الناس	الناس	UC
يحتاجون	يحتاجون	UC
عن علم	للعلم	UNK
الشرعي	الشرعي	UC
و إصلاح	وإصلاح	MERGE
عقيدتهم	عقيدتهم	UC
و منحجهم	ومنهجهم	UNK
.	.	UC
إن	إن	UC
شائ	شاء	REPLACE_OH
الله	الله	UC
حينما	حينما	UC
يقرب	يقرب	UC
وقت	وقت	UC
الإختيار	الاختيار	REPLACE_OH
سأكون	سأكون	UC
راسخا	راسخا	UC
في	في	UC
اختياري	اختياري	UC
.	.	UC
"		DELETE_PM

رحلة	رحلة	UC
إلى	إلى	UC
مكة	مكة	UC
لأداء	لأداء	UC
العمرة	العمرة	UC
	.	INSERT_PM
في	في	UC
عام	عام	UC
2011م	2011م	UC
‘	،	REPLACE_PC
نويت	نويت	UC
الرحلة	الرحلة	UC
إلى	إلى	UC
مكة	مكة	UC
المكرمةلأداء	المكرمة لأداء	SPLIT
العمرة	العمرة	UC
:		DELETE_PM
أنا	أنا	UC
وزميلي	وزميلي	UC
عبدالله	عبد الله	SPLIT
سانا	سانا	UC
‘	،	REPLACE_PC
بعد	بعد	UC
تشجيع	تشجيع	UC
ملح	ملح	UC
لنا	لنا	UC
من	من	UC
إحدى	أحد	REPLACE_XG
إخواننا	إخواننا	UC
المقبولين	المقبولين	UC
في	في	UC
هذه	هذه	UC
الجامعة	الجامعة	UC
	،	INSERT_PM
قبلنا	قابلنا	REPLACE_OH+REPLACE_OM
‘		DELETE_PM
الأخ	الأخ	UC
الفاضل	الفاضل	UC
:	:	UC
محمد	محمد	UC
توندي	توندي	UC
.	.	UC
وكانت	وكانت	UC
لهذه	لهذه	UC
الرحلة	الرحلة	UC
تخطيطا	تخطيطات	REPLACE_XN
واستعدادا	واستعدادات	REPLACE_XN
تامة	تامة	UC
وشاملة	وشاملة	UC
‘	،	REPLACE_PC
حيث	حيث	UC
كان	كانت	REPLACE_XG
لنا	لنا	UC
شهادة	شهادة	UC
الثانوية	الثانوية	UC
‘	،	REPLACE_PC
فسألت	فسألت	UC
الأخ	الأخ	UC
الفاضل	الفاضل	UC
محمد	محمد	UC
توندي	توندي	UC
كيفية	كيفية	UC
التحاق	الالتحاق	REPLACE_XF
بالجامعات	بجامعات	REPLACE_XF
المملكة	المملكة	UC
‘	،	REPLACE_PC
فبين	فبين	UC
لي	لي	UC
محمدتوندي	محمد توندي	SPLIT
شروط	شروط	UC
القبول	القبول	UC
في	في	UC
جامعات	جامعات	UC
المملكة	المملكة	UC
،	،	UC
فاتفقنا	فاتفقنا	UC
أنا	أنا	UC
وزميلي	وزميلي	UC
على	على	UC
أننا	أننا	UC
سنجهزأوراقنا	سنجهز أوراقنا	SPLIT
‘	،	REPLACE_PC
ونبحث	ونبحث	UC
جميع	جميع	UC
الشروط	الشروط	UC
على	على	UC
أساس	أساس	UC
أننا	أننا	UC
إذا	إذا	UC
وصلنا	وصلنا	UC
إلى	إلى	UC
المملكة	المملكة	UC
بالسلامة	بالسلامة	UC
وقضينا	وقضينا	UC
العمرة	العمرة	UC
بالسلامة	بالسلامة	UC
سنبحث	سنبحث	UC
عن	عن	UC
الجامعات	الجامعات	UC
ونقدم	ونقدم	UC
طلباتنا	طلباتنا	UC
‘	،	REPLACE_PC
وفعلا	وفعلا	UC
وجدنا	وجدنا	UC
شروط	الشروط	REPLACE_XF
المطلوب	المطلوبة	REPLACE_XG
‘	،	REPLACE_PC
فذهبنا	فذهبنا	UC
إلى	إلى	UC
سفارة	سفارة	UC
المملكة	المملكة	UC
في	في	UC
بوركينا	بوركينا	UC
فاسو	فاسو	UC
وأخذنا	وأخذنا	UC
تأشيرة	تأشيرة	UC
العمرة	العمرة	UC
‘	،	REPLACE_PC
ثم	ثم	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
خطوط	الخطوط	REPLACE_XF
الجوية	الجوية	UC
الحبشية	الحبشية	UC
فاشترينا	فاشترينا	UC
تذكرة	تذكرة	UC
السفر	السفر	UC
‘	،	REPLACE_PC
فسافرنا	فسافرنا	UC
على	على	UC
خطوط	الخطوط	REPLACE_XF
الحبشية	الحبشية	UC
من	من	UC
واغادوغو	واغادوغو	UC
عاصمة	عاصمة	UC
بوركينا	بوركينا	UC
فاسو	فاسو	UC
إلى	إلى	UC
أديس	أديس	UC
أبابا	أبابا	UC
‘	،	REPLACE_PC
ثم	ثم	UC
من	من	UC
أديس	أديس	UC
أبابا	أبابا	UC
إلى	إلى	UC
جدة	جدة	UC
بنفس	بنفس	UC
الخطوط	الخطوط	UC
‘	،	REPLACE_PC
ولماوصلنا	ولما وصلنا	SPLIT
إلى	إلى	UC
جدة	جدة	UC
أخذنا	أخذنا	UC
السيارة	السيارة	UC
وذهبنا	وذهبنا	UC
إلى	إلى	UC
مكة	مكة	UC
المكرمة	المكرمة	UC
؛	،	REPLACE_PC
فأدينا	فأدينا	UC
العمرة	العمرة	UC
ولله	ولله	UC
الحمد	الحمد	UC
بيسروسهولة	بيسر وسهولة	SPLIT
واطمئنان	واطمئنان	UC
‘	،	REPLACE_PC
حيث	حيث	UC
كان	كان	UC
لنا	لنا	UC
صديق	صديق	UC
مقيما	مقيم	REPLACE_XC
في	في	UC
مكة	مكة	UC
المكرمة	المكرمة	UC
‘	،	REPLACE_PC
فاستقبلنا	فاستقبلنا	UC
استقبالا	استقبالا	UC
حسنا	حسنا	UC
وساعدنا	وساعدنا	UC
في	في	UC
اداء	أداء	REPLACE_OH
العمرة	العمرة	UC
‘	،	REPLACE_PC
ووصف	ووصف	UC
لنا	لنا	UC
كيفية	كيفية	UC
أداء	أداء	UC
العمرة	العمرة	UC
بالتصييلات	بالتفصيل	REPLACE_OR+REPLACE_XN
.	.	UC
ثم	ثم	UC
بعده	بعدها	REPLACE_MI
ذهبنا	ذهبنا	UC
إلى	إلى	UC
جامعة	جامعة	UC
أم	أم	UC
القرى	القرى	UC
في	في	UC
مكة	مكة	UC
المكرمة	المكرمة	UC
وقدمنا	وقدمنا	UC
طلباتنا	طلباتنا	UC
‘	،	REPLACE_PC
ثم	ثم	UC
ذهبنا	ذهبنا	UC
إلى	إلى	UC
جامعة	الجامعة	REPLACE_XF
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
فاجرينا	فأجرينا	REPLACE_OH
المقابلة	المقابلة	UC
‘	،	REPLACE_PC
ثم	ثم	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
مكة	مكة	UC
المكرمة	المكرمة	UC
وأردنا	وأردنا	UC
الذهاب	الذهاب	UC
إلى	إلى	UC
الرياض	الرياض	UC
لكن	لكن	UC
التاشيرة	التأشيرة	REPLACE_OH
التي	التي	UC
معنا	معنا	UC
لا	لا	UC
تسمح	تسمح	UC
لنا	لنا	UC
بالدخول	بالدخول	UC
إلى	إلى	UC
الرياض	الرياض	UC
‘	،	REPLACE_PC
فقدمنا	فقدمنا	UC
أوراقنا	أوراقنا	UC
لأخينا	لأخينا	UC
الحبيب	الحبيب	UC
محمد	محمد	UC
توندي	توندي	UC
ليقدمه	ليقدمها	REPLACE_XG
في	في	UC
عمادة	عمادة	UC
القبول	القبول	UC
والتسجيل	والتسجيل	UC
بجامعة	بجامعة	UC
الإمام	الإمام	UC
محمد	محمد	UC
بن	بن	UC
سعود	سعود	UC
الإسلامية	الإسلامية	UC
بالرياض	بالرياض	UC
‘	،	REPLACE_PC
ثم	ثم	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
بلدنا	بلدنا	UC
الحبيب	الحبيب	UC
بوركينا	بوركينا	UC
فاسوونحن	فاسو	REPLACE_OD
قد	وقد	REPLACE_MI
أدينا	أدينا	UC
العمرة	العمرة	UC
بالسلامة	بالسلامة	UC
وقدمنا	وقدمنا	UC
الطلبات	الطلبات	UC
في	في	UC
عدة	عدة	UC
جامعات	جامعات	UC
ولله	ولله	UC
الحمد	الحمد	UC
.	.	UC
فلما	فلما	UC
كانت	كانت	UC
السنة	السنة	UC
التالية	التالية	UC
وفقت	وفقت	UC
أنا	أنا	UC
بالقبول	بالقبول	UC
في	في	UC
جامعة	جامعة	UC
الإمام	الإمام	UC
‘	،	REPLACE_PC
ووفق	ووفق	UC
زميلي	زميلي	UC
عبدالله	عبد الله	SPLIT
سانا	سانا	UC
بالقبول	بالقبول	UC
في	في	UC
جامعة	الجامعة	REPLACE_XF
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
	،	INSERT_PM
والله	والله	UC
الحمد	الحمد	UC
لله	لله	UC
.	.	UC

العقدة	العقيدة	REPLACE_OM
صححة	الصحيحة	REPLACE_SW
"	.	REPLACE_PC
بسم	بسم	UC
الله	الله	UC
الرحمن	الرحمن	UC
الرحيم	الرحيم	UC
	.	INSERT_PM
أولا	أولا	UC
.		DELETE_PM
نشكر	نشكر	UC
من		DELETE_XM
الله	الله	UC
عز	عز	UC
وجل	وجل	UC
.	،	REPLACE_PC
بعد	بعد	UC
إنتهاء	الانتهاء	REPLACE_OH+REPLACE_XF
	من	INSERT_XM
معهد	المعهد	REPLACE_XF
أريد	أريد	UC
أن	أن	UC
أدخل	أدخل	UC
في	في	UC
كلية	كلية	UC
الشرع	الشرع	UC
إن	إن	UC
شاالله	شاء الله	REPLACE_X
	،	INSERT_PM
و بعد	وبعد	MERGE
إنتهاء	الانتهاء	REPLACE_OH+REPLACE_XF
	من	INSERT_XM
كلية	كلية	UC
الشرع	الشرع	UC
أرجوع	أرجو	REPLACE_OD
أن	أن	UC
أعود	أعود	UC
إلى	إلى	UC
بلادي	بلادي	UC
أكون	وأكون	REPLACE_MI
خطبا	خطيبا	REPLACE_OM
في	في	UC
بلادي	بلادي	UC
لكي	لكن يجب	UNK
أن	أن	UC
أتعلم	أتعلم	UC
باللغة	باللغة	UC
العربية	العربية	UC
	،	INSERT_PM
و بالسنة	وسنة	UNK
محمد	محمد	UC
	،	INSERT_PM
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
	،	INSERT_PM
و نالطارق	والطريق	UNK
المسطقم	المستقيم	REPLACE_OM+REPLACE_OR
,	،	REPLACE_PC
وو عقيدة	والعقيدة	UNK
صحح	الصحيحة	REPLACE_SW
.	.	UC
في		DELETE_XM
الثاني	وثانيا	REPLACE_OD+REPLACE_OR+REPLACE_XC
أتمنا	أتمنى	REPLACE_OA
أن	أن	UC
أفتح	أفتح	UC
في	في	UC
بلاد	بلادي	REPLACE_OM
مدارس	مدارس	UC
والجامعات	وجامعات	REPLACE_XF
و	؛	REPLACE_PM+REPLACE_XT
المدارس		DELETE_XM
لكي	لكي	UC
ينتشل	تنتشر	REPLACE_MI+REPLACE_OR
الغة	اللغة	REPLACE_OM
العربية	العربية	UC
	،	INSERT_PM
و سنة	وسنة	MERGE
محمد	محمد	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
	،	INSERT_PM
و عقيدة	والعقيدة	REPLACE_X
صححة	الصحيحة	REPLACE_SW
"	.	REPLACE_PC

رحلة	رحلة	UC
الى	إلى	REPLACE_OH
بلدي	بلدي	UC
	.	INSERT_PM
كانت	كانت	UC
الاءجازات	الإجازة	REPLACE_OD+REPLACE_OR+REPLACE_XN
الماضية	الماضية	UC
الطويلة	طويلة	REPLACE_XF
استطعت	فاستطعت	REPLACE_SF
السفرالى	السفر إلى	REPLACE_X
البحروالجبل	البحر والجبل	SPLIT
حتى	حتى	UC
اشعر	أشعر	REPLACE_OH
بالراحة	بالراحة	UC
والسعادة	والسعادة	UC
	.	INSERT_PM
عندماوصلت	عندما وصلت	SPLIT
الى	إلى	REPLACE_OH
البحرفنظرت	البحر نظرت	REPLACE_X
الايات	إلى آيات	REPLACE_S
الله	الله	UC
فتعجبت	فتعجبت	UC
عليها	منها	REPLACE_SW
لانها	لأنها	REPLACE_OH
جميلة	جميلة	UC
جدا	جدا	UC
فقلت	فقلت	UC
بنفسي	في نفسي	REPLACE_S
:	:	UC
اني	أنا	REPLACE_SW
ذهبت	ذهبت	UC
اليه	إليه	REPLACE_OH
في	في	UC
سنة	السنة	REPLACE_XF
مرة	مرة	UC
واحدة	واحدة	UC
فقط	فقط	UC
	،	INSERT_PM
اذا	إذا	REPLACE_OH
لم	لم	UC
اسبح	أسبح	REPLACE_OH
هل	هل	UC
وصلت	وصلت	UC
اليه	إليه	REPLACE_OH
	؟	INSERT_PM
فقلت	فقلت	UC
:	:	UC
ماوصلت	ما وصلت	SPLIT
	،	INSERT_PM
فذهبت	فذهبت	UC
الى	إلى	REPLACE_OH
السوق	السوق	UC
لاشتري	لأشتري	REPLACE_OH
ملابس	ملابس	UC
للسباح	للسباحة	REPLACE_XG
فقضيت	فقضيت	UC
	اليوم	INSERT_XM
حتى	حتى	UC
المساء	المساء	UC
.	.	UC
وفي	وفي	UC
اليوم	اليوم	UC
الاخر	الآخر	REPLACE_OH
ذهبت	ذهبت	UC
الى	إلى	REPLACE_OH
الجبل	الجبل	UC
لاشاهد	لأشاهد	REPLACE_OH
حيوانات	الحيوانات	REPLACE_XF
و اشجار	والأشجار	REPLACE_O
وغيرها	وغيرها	UC
فاشعرمسروروسعادة	فشعرت بالسرور والسعادة	UNK
	،	INSERT_PM
ثم	ثم	UC
رجعت	رجعت	UC
الى	إلى	REPLACE_OH
بيتي	بيتي	UC
بسيارة	بسيارة	UC
الحفلة	الحفلة	UC
	،	INSERT_PM
عندما	عندما	UC
وصلت	وصلت	UC
اليه	إليه	REPLACE_OH
فاستقبلت	استقبلتني	REPLACE_MI
اسرتي	أسرتي	REPLACE_OH
استقبالا	استقبالا	UC
جميلا	جميلا	UC
وكنت	وكنت	UC
في	في	UC
بيتي	بيتي	UC
شهرة	شهرا	REPLACE_OR
كاملة	كاملا	REPLACE_XG
	،	INSERT_PM
وفي	وفي	UC
كل	كل	UC
ايام	الأيام	REPLACE_OM
	كنت	INSERT_XM
ذهبت	أذهب	REPLACE_MT
الى	إلى	REPLACE_OH
المزرعة	المزرعة	UC
لاساعد	لأساعد	REPLACE_OH
والدي	والدي	UC
عن	في	REPLACE_SW
اعمالهما	أعمالهما	REPLACE_OH
واذا	وإذا	REPLACE_OH
رجعت	رجعت	UC
اليها	إليه	REPLACE_OH+REPLACE_XG
فنمت	أنام	REPLACE_MT
قليلا	قليلا	UC
ثم	ثم	UC
دخلت	أدخل	REPLACE_MT
في		DELETE_XM
المطبخ	المطبخ	UC
لاساعد	لأساعد	REPLACE_OH
امي	أمي	REPLACE_OH
اواشاهد	أو أشاهد	REPLACE_X
لاستفيد	لأستفيد	REPLACE_OH
منها	منها	UC
عندما	وعندما	REPLACE_MI
اعود	أعود	REPLACE_OH
الى	إلى	REPLACE_OH
الرياض	الرياض	UC
استطيع	أستطيع	REPLACE_OH
ان	أن	REPLACE_OH
اطبخ	أطبخ	REPLACE_OH
بنفسي	بنفسي	UC
	.	INSERT_PM
وفي	وفي	UC
الاسبوع	الأسبوع	REPLACE_OH
ذهبت	ذهبت	UC
الى	إلى	REPLACE_OH
المدرسة	المدرسة	UC
القديم	القديمة	REPLACE_XG
التي	التي	UC
انتهيت	انتهيت	UC
منها	منها	UC
لادرس	لأدرس	REPLACE_OH
مع	مع	UC
استاذي	أستاذي	REPLACE_OH
بعض	بعض	UC
المواضع	المواضيع	REPLACE_OM
التي	التي	UC
لا	لا	UC
افهما	أفهمها	REPLACE_OH+REPLACE_OM
	،	INSERT_PM
والمساء	والمساء	UC
ذهبت	ذهبت	UC
الى	إلى	REPLACE_OH
جامعة	الجامعة	REPLACE_XF
اسلامية	الإسلامية	REPLACE_OM
جالا	جالا	UC
لاما رس	لأمارس	REPLACE_S
كرة	كرة	UC
القدم	القدم	UC
مع	مع	UC
زملاءي	زملائي	REPLACE_OH
واقوم	وأقوم	REPLACE_OH
فيها	فيها	UC
حتى	حتى	UC
صباح	الصباح	REPLACE_XF
ثم	ثم	UC
رجعت	رجعت	UC
	.	INSERT_PM

رحلتي	رحلتي	UC
مع	مع	UC
أصدقاء	الأصدقاء	REPLACE_XF
	.	INSERT_PM
الحمد	الحمد	UC
لله	لله	UC
والصلات	والصلاة	REPLACE_OT
والسلام	والسلام	UC
على	على	UC
رسول	رسول	UC
الله	الله	UC
	،	INSERT_PM
بدأت	بدأت	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
في	في	UC
الإجاز	الإجازة	REPLACE_OM
الصيفية	الصيفية	UC
وكانت	وكانت	UC
رحلة	رحلة	UC
ممتعة	ممتعة	UC
،	،	UC
تطيب	تطيب	UC
الجو	الجو	UC
خلال	خلال	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
،	،	UC
وكانت	وكانت	UC
هذه	هذه	UC
المنطقة	المنطقة	UC
إحدى	إحدى	UC
المناطق	المناطق	UC
المشهورة	المشهورة	UC
سياحة	بالسياحة	REPLACE_SW
ألا	ألا	UC
وهي	وهي	UC
شلالات	شلالات	UC
(	(	UC
ماهايغ	ماهايغ	UC
)	)	UC
تلتف	تلتف	UC
حولها	حولها	UC
مناظر	مناظر	UC
طبيعية	طبيعية	UC
خلال	تدخل على	UNK
البصر	البصر	UC
البهجة	البهجة	UC
والسرور	والسرور	UC
،	،	UC
وكانت	وكانت	UC
هذه	هذه	UC
الرحلة	الرحلة	UC
تسلية	تسلية	UC
مع	مع	UC
أصدقاء	الأصدقاء	REPLACE_XF
الأحباء	الأحباء	UC
رغم	رغم	UC
بعد	بعد	UC
المكان	المكان	UC
،	.	REPLACE_PC
خطط	خططنا	REPLACE_MI
هذه	لهذه	REPLACE_XM
الرحلة	الرحلة	UC
قبل	قبل	UC
أن	أن	UC
أقيم	تأتي	REPLACE_SW
الإجاز	الإجازة	REPLACE_OM
ما	ما	UC
يقارب	يقارب	UC
شهرا	شهرا	UC
قبل	قبل	UC
السفر	السفر	UC
،		DELETE_PM
أعددنا	أعددنا	UC
فيها	فيها	UC
ميزانية	ميزانية	UC
لا	لا	UC
يزيد	تزيد	REPLACE_MI
ولا	ولا	UC
يقل	تقل	REPLACE_MI
مما	عن ما	UNK
نحتاجة	نحتاجه	REPLACE_OT
لهذ	لهذه	REPLACE_OM
الرحلة	الرحلة	UC
،	.	REPLACE_PC
مما	مما	UC
أعجبني	أعجبني	UC
لهذه	في هذه	REPLACE_S
الرحلة	الرحلة	UC
الصحبة	الصحبة	UC
الإخائية	الإخائية	UC
التي	التي	UC
	تزيدنا	INSERT_XM
قوة	قوة	UC
فيما	فيما	UC
بيننا	بيننا	UC
،	.	REPLACE_PC
وعندما	وعندما	UC
كنا	كنا	UC
في	في	UC
الطريق	الطريق	UC
إلى	إلى	UC
المقصد	المقصد	UC
التفت	التفتت	REPLACE_XG
الأ ، ظار	الأنظار	UNK
إلى	إلى	UC
جبال	الجبال	REPLACE_XF
راسيات	راسيات	UC
مخضرةتفاقمة	مخضرة تفاقم	REPLACE_X
السحاب	السحاب	UC
وكأنها	وكأنها	UC
تشقها	تشقها	UC
شقا	شقا	UC
،	.	REPLACE_PC
لم	لم	UC
نلتمس	نلتمس	UC
لهذه	لهذه	UC
الرحلة	الرحلة	UC
عوائق	عوائق	UC
أو	أو	UC
صعوبات	صعوبات	UC
ولله	ولله	UC
الحمد	الحمد	UC
،	.	REPLACE_PC
من	من	UC
المواقف	المواقف	UC
التي	التي	UC
أضحكنا	أضحكتنا	REPLACE_XG
لرحلتنا	في رحلتنا	REPLACE_S
أن	أن	UC
بعض	بعض	UC
أصدقاء	الأصدقاء	REPLACE_XF
كان	كانوا	REPLACE_XN
يتمازح	يتمازحون	REPLACE_OH+REPLACE_OM
معنا	معنا	UC
كثيرا	كثيرا	UC
،	.	REPLACE_PC
فكما	فكما	UC
خطط	خططنا	REPLACE_MI
وأعد	وأعددنا	REPLACE_XN
الرحلة	للرحلة	REPLACE_XM
لم	لم	UC
نرى	نرى	UC
فيها	فيها	UC
نقصا	نقصا	UC
مما	مما	UC
أعددنا	أعددناه	REPLACE_XM
،	،	UC
وهذا	وهذا	UC
الفضل	الفضل	UC
الله	لله	REPLACE_OD
سبحانه	سبحانه	UC
وتعالى	وتعالى	UC
ولا	ولا	UC
أريد	أريد	UC
أن	أن	UC
أطيل	أطيل	UC
الحديث	الحديث	UC
فأكثر	فأكثر	UC
ما	ما	UC
استفدت	استفدت	UC
لهذا	من هذه	UNK
الرحلة	الرحلة	UC
معرفتك	معرفة	REPLACE_MI
لأخيك	الأخ	REPLACE_OH+REPLACE_OM
حق	حق	UC
المعرفة	المعرفة	UC
،	،	UC
وإلى	وإلى	UC
هذا	هذا	UC
والسلام	والسلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
.	.	UC

بسم	بسم	UC
الله	الله	UC
الرحمن	الرحمن	UC
الرحيم	الرحيم	UC
	،	INSERT_PM
الحمد	الحمد	UC
لله	لله	UC
رب	رب	UC
العالمين	العالمين	UC
نحمده	نحمده	UC
ونستعينه	ونستعينه	UC
ونستغفره	ونستغفره	UC
ونتوب	ونتوب	UC
إليه	إليه	UC
	.	INSERT_PM
أما	أما	UC
بعد	بعد	UC
:	،	REPLACE_PC
أرغب	أرغب	UC
في	في	UC
الدراسة	الدراسة	UC
أكون	وأكون	REPLACE_MI
متخصصا	متخصصا	UC
في	في	UC
كلية	كلية	UC
أصول	أصول	UC
ا لدين	الدين	MERGE
	؛	INSERT_PM
لأن	لأن	UC
في	في	UC
بلدي	بلدي	UC
كثيرون	كثير من	UNK
المسلمين	المسلمين	UC
لا	لا	UC
يعرفون	يعرفون	UC
الإسلام	الإسلام	UC
عميقا	عميقا	UC
من	من	UC
القرآن	القرآن	UC
والسنة	والسنة	UC
	؛	INSERT_PM
ولذا	ولذا	UC
أريد	أريد	UC
وأحتاج	وأحتاج	UC
قسم	قسم	UC
أصول	أصول	UC
الدين	الدين	UC
	،	INSERT_PM
وفي	وفي	UC
كلية	كلية	UC
أصول	أصول	UC
ا لدين	الدين	MERGE
موجود	موجود	UC
زملائي	زملائي	UC
	من	INSERT_XM
بلدي	بلدي	UC
	،	INSERT_PM
هناك	هناك	UC
تقريبا	تقريبا	UC
خمسة	خمسة	UC
اشخاص	أشخاص	REPLACE_OH
.	.	UC
وأيضا	وأيضا	UC
مع	مع	UC
هذا	هذا	UC
التخصص	التخصص	UC
علاقة	علاقة	UC
لأن		DELETE_XM
قبل	قبل	UC
ما	ما	UC
حضرت	حضرت	UC
الجامعة	الجامعة	UC
	،	INSERT_PM
ودرست	ودرست	UC
في	في	UC
بلدي	بلدي	UC
